sim_id,alg,task_type,task_level,task_seed,col_chance,task_val
2025-09-06_22:00:25_R_ur5e_N4_AO_Tbin_s1_l2,"O(400, 5)",bin,2,1,0.0,7.0
2025-09-06_21:35:18_R_ur5e_N4_AO_Tbin_s0_l1,"O(400, 5)",bin,1,0,0.0,5.0
2025-09-06_22:41:03_R_ur5e_N4_AO_Tbin_s0_l5,"O(400, 5)",bin,5,0,0.024,7.0
2025-09-06_22:30:50_R_ur5e_N4_AO_Tbin_s1_l4,"O(400, 5)",bin,4,1,0.0,5.0
2025-09-06_21:50:10_R_ur5e_N4_AO_Tbin_s2_l1,"O(400, 5)",bin,1,2,0.0,3.0
2025-09-06_22:10:44_R_ur5e_N4_AO_Tbin_s0_l3,"O(400, 5)",bin,3,0,0.0,9.0
2025-09-06_22:45:55_R_ur5e_N4_AO_Tbin_s1_l5,"O(400, 5)",bin,5,1,0.0,8.0
2025-09-06_22:51:02_R_ur5e_N4_AO_Tbin_s2_l5,"O(400, 5)",bin,5,2,0.022,6.0
2025-09-06_22:15:45_R_ur5e_N4_AO_Tbin_s1_l3,"O(400, 5)",bin,3,1,0.006,8.0
2025-09-08_22:34:56_R_ur5e_N4_AO-_Tbin_s0_l2,"O-(400, 5)",bin,2,0,0.0,3.0
2025-09-08_22:58:31_R_ur5e_N4_AO-_Tbin_s0_l4,"O-(400, 5)",bin,4,0,0.05,5.0
2025-09-08_22:46:30_R_ur5e_N4_AO-_Tbin_s0_l3,"O-(400, 5)",bin,3,0,0.062,0.0
2025-09-08_23:10:09_R_ur5e_N4_AO-_Tbin_s0_l5,"O-(400, 5)",bin,5,0,0.026,1.0
2025-09-08_22:22:35_R_ur5e_N4_AO-_Tbin_s0_l1,"O-(400, 5)",bin,1,0,0.0,3.0
2025-09-09_00:56:52_R_ur5e_N4_AO-_Tbin_s4_l4,"O-(400, 5)",bin,4,4,0.004,5.0
2025-09-09_01:00:48_R_ur5e_N4_AO-_Tbin_s5_l4,"O-(400, 5)",bin,4,5,0.0,4.0
2025-09-09_01:10:02_R_ur5e_N4_AO-_Tbin_s2_l5,"O-(400, 5)",bin,5,2,0.0,1.0
2025-09-09_00:40:56_R_ur5e_N4_AO-_Tbin_s5_l3,"O-(400, 5)",bin,3,5,0.062,2.0
2025-09-09_00:44:52_R_ur5e_N4_AO-_Tbin_s1_l4,"O-(400, 5)",bin,4,1,0.07,3.0
2025-09-09_00:20:06_R_ur5e_N4_AO-_Tbin_s5_l2,"O-(400, 5)",bin,2,5,0.0,4.0
2025-09-09_00:27:54_R_ur5e_N4_AO-_Tbin_s2_l3,"O-(400, 5)",bin,3,2,0.016,1.0
2025-09-09_00:00:04_R_ur5e_N4_AO-_Tbin_s5_l1,"O-(400, 5)",bin,1,5,0.0,4.0
2025-09-08_23:43:52_R_ur5e_N4_AO-_Tbin_s1_l1,"O-(400, 5)",bin,1,1,0.0,5.0
2025-09-08_23:56:12_R_ur5e_N4_AO-_Tbin_s4_l1,"O-(400, 5)",bin,1,4,0.0,4.0
2025-09-09_00:52:57_R_ur5e_N4_AO-_Tbin_s3_l4,"O-(400, 5)",bin,4,3,0.094,3.0
2025-09-09_01:17:54_R_ur5e_N4_AO-_Tbin_s4_l5,"O-(400, 5)",bin,5,4,0.11,1.0
2025-09-09_00:16:13_R_ur5e_N4_AO-_Tbin_s4_l2,"O-(400, 5)",bin,2,4,0.13,5.0
2025-09-09_00:49:01_R_ur5e_N4_AO-_Tbin_s2_l4,"O-(400, 5)",bin,4,2,0.0,3.0
2025-09-08_23:48:02_R_ur5e_N4_AO-_Tbin_s2_l1,"O-(400, 5)",bin,1,2,0.0,3.0
2025-09-08_23:52:05_R_ur5e_N4_AO-_Tbin_s3_l1,"O-(400, 5)",bin,1,3,0.0,4.0
