task_type,task_level,alg,normalized_task_val_mean,normalized_task_val_std,normalized_col_chance_mean,normalized_col_chance_std,baseline_task_val_mean,baseline_task_val_std,baseline_col_chance_mean,baseline_col_chance_std,count
follow,2,"SD(400, 5)",-0.013,0.009,0.0,0.0,0.1,0.009,0.0,0.0,6
follow,3,CC(1000),0.189,0.023,0.0,0.0,0.099,0.006,0.0,0.0,6
follow,3,CC(500),0.202,0.02,0.0,0.0,0.099,0.006,0.0,0.0,6
follow,3,"O(400, 1)",0.0,0.011,0.0,0.0,0.099,0.006,0.0,0.0,6
follow,3,"O(400, 5)",0.0,0.0,0.0,0.0,0.099,0.006,0.0,0.0,6
follow,3,"O-(400, 5)",-0.005,0.011,0.0,0.0,0.099,0.006,0.0,0.0,6
follow,3,"SC(1600, 5)",0.01,0.013,0.0,0.0,0.099,0.006,0.0,0.0,6
follow,3,"SC(400, 5)",0.043,0.046,0.005,0.011,0.099,0.006,0.0,0.0,6
follow,3,"SD(400, 5)",-0.008,0.011,0.0,0.0,0.099,0.006,0.0,0.0,6
follow,4,CC(1000),0.211,0.023,0.274,0.003,0.096,0.01,0.0,0.0,6
follow,4,CC(500),0.215,0.025,0.275,0.003,0.096,0.01,0.0,0.0,6
follow,4,"O(400, 1)",0.001,0.017,0.0,0.0,0.096,0.01,0.0,0.0,6
follow,4,"O(400, 5)",0.0,0.0,0.0,0.0,0.096,0.01,0.0,0.0,6
follow,4,"O-(400, 5)",0.004,0.01,0.0,0.0,0.096,0.01,0.0,0.0,6
follow,4,"SC(1600, 5)",0.009,0.009,0.001,0.002,0.096,0.01,0.0,0.0,6
follow,4,"SC(400, 5)",0.039,0.016,0.0,0.0,0.096,0.01,0.0,0.0,6
follow,4,"SD(400, 5)",-0.008,0.013,0.0,0.0,0.096,0.01,0.0,0.0,6
follow,5,CC(1000),0.184,0.03,0.322,0.039,0.13,0.032,0.031,0.036,6
follow,5,CC(500),0.185,0.035,0.323,0.034,0.13,0.032,0.031,0.036,6
follow,5,"O(400, 1)",0.033,0.037,0.096,0.117,0.13,0.032,0.031,0.036,6
follow,5,"O(400, 5)",0.0,0.0,0.0,0.0,0.13,0.032,0.031,0.036,6
follow,5,"O-(400, 5)",-0.002,0.021,-0.008,0.035,0.13,0.032,0.031,0.036,6
follow,5,"SC(1600, 5)",0.047,0.051,0.105,0.047,0.13,0.032,0.031,0.036,6
follow,5,"SC(400, 5)",0.154,0.06,0.185,0.079,0.13,0.032,0.031,0.036,6
follow,5,"SD(400, 5)",0.021,0.026,0.173,0.139,0.13,0.032,0.031,0.036,6
reach_easy,1,CC(1000),-28.0,5.215,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,1,CC(500),-28.167,4.875,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,1,"O(400, 1)",1.833,3.92,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,1,"O(400, 5)",0.0,0.0,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,1,"O-(400, 5)",-3.5,5.788,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,1,"SC(1600, 5)",-4.833,2.137,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,1,"SC(400, 5)",-18.333,5.574,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,1,"SD(400, 5)",11.167,5.492,0.0,0.0,29.833,5.382,0.0,0.0,6
reach_easy,2,CC(1000),-26.5,2.881,0.045,0.111,27.333,2.658,0.0,0.0,6
reach_easy,2,CC(500),-25.667,2.582,0.087,0.135,27.333,2.658,0.0,0.0,6
reach_easy,2,"O(400, 1)",-1.167,5.776,0.0,0.0,27.333,2.658,0.0,0.0,6
reach_easy,2,"O(400, 5)",0.0,0.0,0.0,0.0,27.333,2.658,0.0,0.0,6
reach_easy,2,"O-(400, 5)",-0.667,2.658,0.0,0.0,27.333,2.658,0.0,0.0,6
reach_easy,2,"SC(1600, 5)",-7.0,4.561,0.0,0.0,27.333,2.658,0.0,0.0,6
reach_easy,2,"SC(400, 5)",-17.5,4.637,0.007,0.018,27.333,2.658,0.0,0.0,6
reach_easy,2,"SD(400, 5)",11.833,5.879,0.0,0.0,27.333,2.658,0.0,0.0,6
reach_easy,3,CC(1000),-26.833,2.714,0.045,0.111,27.667,2.503,0.0,0.0,6
reach_easy,3,CC(500),-26.167,2.229,0.087,0.134,27.667,2.503,0.0,0.0,6
reach_easy,3,"O(400, 1)",-1.0,4.427,0.0,0.0,27.667,2.503,0.0,0.0,6
reach_easy,3,"O(400, 5)",0.0,0.0,0.0,0.0,27.667,2.503,0.0,0.0,6
reach_easy,3,"O-(400, 5)",-3.5,3.834,0.0,0.0,27.667,2.503,0.0,0.0,6
reach_easy,3,"SC(1600, 5)",-5.0,2.449,0.0,0.0,27.667,2.503,0.0,0.0,6
reach_easy,3,"SC(400, 5)",-17.0,4.427,0.0,0.0,27.667,2.503,0.0,0.0,6
reach_easy,3,"SD(400, 5)",11.0,5.55,0.0,0.0,27.667,2.503,0.0,0.0,6
reach_easy,4,CC(1000),-25.667,4.412,0.17,0.123,26.833,4.622,0.002,0.004,6
reach_easy,4,CC(500),-25.5,4.722,0.225,0.105,26.833,4.622,0.002,0.004,6
reach_easy,4,"O(400, 1)",1.167,6.113,-0.001,0.004,26.833,4.622,0.002,0.004,6
reach_easy,4,"O(400, 5)",0.0,0.0,0.0,0.0,26.833,4.622,0.002,0.004,6
reach_easy,4,"O-(400, 5)",-0.333,4.274,-0.002,0.004,26.833,4.622,0.002,0.004,6
reach_easy,4,"SC(1600, 5)",-3.5,5.958,-0.002,0.004,26.833,4.622,0.002,0.004,6
reach_easy,4,"SC(400, 5)",-17.0,6.066,0.001,0.008,26.833,4.622,0.002,0.004,6
reach_easy,4,"SD(400, 5)",10.5,3.728,0.008,0.025,26.833,4.622,0.002,0.004,6
reach_easy,5,CC(1000),-22.667,7.257,0.3,0.096,23.667,7.285,0.028,0.043,6
reach_easy,5,CC(500),-22.667,7.257,0.316,0.105,23.667,7.285,0.028,0.043,6
reach_easy,5,"O(400, 1)",-3.167,6.242,0.028,0.034,23.667,7.285,0.028,0.043,6
reach_easy,5,"O(400, 5)",0.0,0.0,0.0,0.0,23.667,7.285,0.028,0.043,6
reach_easy,5,"O-(400, 5)",-4.833,5.382,-0.022,0.04,23.667,7.285,0.028,0.043,6
reach_easy,5,"SC(1600, 5)",-12.5,7.635,0.163,0.099,23.667,7.285,0.028,0.043,6
reach_easy,5,"SC(400, 5)",-17.333,5.955,0.145,0.05,23.667,7.285,0.028,0.043,6
reach_easy,5,"SD(400, 5)",7.667,6.121,0.034,0.061,23.667,7.285,0.028,0.043,6
reach_hard,1,CC(1000),-10.333,1.633,-0.037,0.066,10.333,1.633,0.037,0.066,6
reach_hard,1,CC(500),-10.333,1.633,-0.037,0.066,10.333,1.633,0.037,0.066,6
reach_hard,1,"O(400, 1)",1.0,2.098,-0.037,0.066,10.333,1.633,0.037,0.066,6
reach_hard,1,"O(400, 5)",0.0,0.0,0.0,0.0,10.333,1.633,0.037,0.066,6
reach_hard,1,"O-(400, 5)",-7.667,1.366,0.04,0.041,10.333,1.633,0.037,0.066,6
reach_hard,1,"SC(1600, 5)",1.0,6.325,0.157,0.136,10.333,1.633,0.037,0.066,6
reach_hard,1,"SC(400, 5)",-5.667,2.582,0.152,0.096,10.333,1.633,0.037,0.066,6
reach_hard,1,"SD(400, 5)",6.167,3.817,0.636,0.205,10.333,1.633,0.037,0.066,6
reach_hard,2,CC(1000),-8.5,3.146,-0.006,0.01,8.5,3.146,0.006,0.01,6
reach_hard,2,CC(500),-8.5,3.146,-0.006,0.01,8.5,3.146,0.006,0.01,6
reach_hard,2,"O(400, 1)",-0.333,3.933,0.007,0.035,8.5,3.146,0.006,0.01,6
reach_hard,2,"O(400, 5)",0.0,0.0,0.0,0.0,8.5,3.146,0.006,0.01,6
reach_hard,2,"O-(400, 5)",-6.333,3.011,0.026,0.06,8.5,3.146,0.006,0.01,6
reach_hard,2,"SC(1600, 5)",-2.333,6.947,0.149,0.054,8.5,3.146,0.006,0.01,6
reach_hard,2,"SC(400, 5)",-5.5,3.271,0.125,0.085,8.5,3.146,0.006,0.01,6
reach_hard,2,"SD(400, 5)",6.333,5.502,0.592,0.212,8.5,3.146,0.006,0.01,6
reach_hard,3,CC(1000),-7.667,4.32,-0.018,0.03,7.667,4.32,0.018,0.03,6
reach_hard,3,CC(500),-7.667,4.32,-0.018,0.03,7.667,4.32,0.018,0.03,6
reach_hard,3,"O(400, 1)",0.333,3.327,-0.01,0.03,7.667,4.32,0.018,0.03,6
reach_hard,3,"O(400, 5)",0.0,0.0,0.0,0.0,7.667,4.32,0.018,0.03,6
reach_hard,3,"O-(400, 5)",-5.5,3.937,0.073,0.085,7.667,4.32,0.018,0.03,6
reach_hard,3,"SC(1600, 5)",-1.667,5.574,0.145,0.077,7.667,4.32,0.018,0.03,6
reach_hard,3,"SC(400, 5)",-4.333,1.966,0.125,0.083,7.667,4.32,0.018,0.03,6
reach_hard,3,"SD(400, 5)",6.5,3.728,0.558,0.146,7.667,4.32,0.018,0.03,6
reach_hard,4,CC(1000),-8.0,2.683,0.271,0.009,8.0,2.683,0.005,0.009,6
reach_hard,4,CC(500),-8.0,2.683,0.271,0.009,8.0,2.683,0.005,0.009,6
reach_hard,4,"O(400, 1)",-0.333,3.724,0.024,0.033,8.0,2.683,0.005,0.009,6
reach_hard,4,"O(400, 5)",0.0,0.0,0.0,0.0,8.0,2.683,0.005,0.009,6
reach_hard,4,"O-(400, 5)",-6.167,2.563,0.054,0.063,8.0,2.683,0.005,0.009,6
reach_hard,4,"SC(1600, 5)",-3.167,2.483,0.176,0.107,8.0,2.683,0.005,0.009,6
reach_hard,4,"SC(400, 5)",-5.667,2.733,0.133,0.07,8.0,2.683,0.005,0.009,6
reach_hard,4,"SD(400, 5)",5.0,1.549,0.449,0.191,8.0,2.683,0.005,0.009,6
reach_hard,5,CC(1000),-5.667,1.862,0.289,0.137,5.667,1.862,0.061,0.137,6
reach_hard,5,CC(500),-5.667,1.862,0.289,0.137,5.667,1.862,0.061,0.137,6
reach_hard,5,"O(400, 1)",1.5,1.517,0.033,0.21,5.667,1.862,0.061,0.137,6
reach_hard,5,"O(400, 5)",0.0,0.0,0.0,0.0,5.667,1.862,0.061,0.137,6
reach_hard,5,"O-(400, 5)",-4.0,2.191,0.009,0.11,5.667,1.862,0.061,0.137,6
reach_hard,5,"SC(1600, 5)",-0.5,5.718,0.116,0.204,5.667,1.862,0.061,0.137,6
reach_hard,5,"SC(400, 5)",-3.833,3.125,0.21,0.165,5.667,1.862,0.061,0.137,6
reach_hard,5,"SD(400, 5)",6.0,1.414,0.358,0.315,5.667,1.862,0.061,0.137,6
