task_type,task_level,alg,normalized_task_val_mean,normalized_task_val_std,normalized_col_chance_mean,normalized_col_chance_std,count
reach_easy,1,"SC(1600, 5)",0.62,0.139,1.0,0.0,6
reach_easy,1,"SC(400, 5)",0.287,0.084,1.0,0.0,6
reach_easy,1,"SD(400, 5)",1.0,0.0,1.0,0.0,6
reach_easy,2,CC(1000),0.024,0.023,0.667,0.516,6
reach_easy,2,CC(500),0.043,0.013,0.833,0.408,6
reach_easy,2,"O(400, 1)",0.69,0.18,0.5,0.548,6
reach_easy,2,"O(400, 5)",0.709,0.102,0.5,0.548,6
reach_easy,2,"O-(400, 5)",0.69,0.113,0.5,0.548,6
reach_easy,2,"SC(1600, 5)",0.522,0.128,0.5,0.548,6
reach_easy,2,"SC(400, 5)",0.261,0.089,0.667,0.516,6
reach_easy,2,"SD(400, 5)",1.0,0.0,0.5,0.548,6
reach_easy,3,CC(1000),0.024,0.023,0.833,0.408,6
reach_easy,3,CC(500),0.039,0.014,1.0,0.0,6
reach_easy,3,"O(400, 1)",0.695,0.13,0.667,0.516,6
reach_easy,3,"O(400, 5)",0.725,0.102,0.667,0.516,6
reach_easy,3,"O-(400, 5)",0.635,0.11,0.667,0.516,6
reach_easy,3,"SC(1600, 5)",0.59,0.121,0.667,0.516,6
reach_easy,3,"SC(400, 5)",0.28,0.099,0.667,0.516,6
reach_easy,3,"SD(400, 5)",1.0,0.0,0.667,0.516,6
reach_easy,4,CC(1000),0.032,0.022,0.749,0.368,6
reach_easy,4,CC(500),0.037,0.016,0.969,0.076,6
reach_easy,4,"O(400, 1)",0.755,0.132,0.001,0.003,6
reach_easy,4,"O(400, 5)",0.719,0.101,0.01,0.025,6
reach_easy,4,"O-(400, 5)",0.713,0.059,0.0,0.0,6
reach_easy,4,"SC(1600, 5)",0.628,0.084,0.0,0.0,6
reach_easy,4,"SC(400, 5)",0.269,0.091,0.008,0.019,6
reach_easy,4,"SD(400, 5)",1.0,0.0,0.027,0.067,6
reach_easy,5,CC(1000),0.029,0.026,0.945,0.065,6
reach_easy,5,CC(500),0.029,0.026,0.987,0.031,6
reach_easy,5,"O(400, 1)",0.649,0.068,0.184,0.181,6
reach_easy,5,"O(400, 5)",0.759,0.184,0.099,0.149,6
reach_easy,5,"O-(400, 5)",0.617,0.132,0.021,0.03,6
reach_easy,5,"SC(1600, 5)",0.337,0.226,0.557,0.286,6
reach_easy,5,"SC(400, 5)",0.211,0.146,0.534,0.329,6
reach_easy,5,"SD(400, 5)",1.0,0.0,0.199,0.286,6
reach_hard,1,CC(1000),0.0,0.0,0.0,0.0,6
reach_hard,1,CC(500),0.0,0.0,0.0,0.0,6
reach_hard,1,"O(400, 1)",0.694,0.219,0.0,0.0,6
reach_hard,1,"O(400, 5)",0.625,0.12,0.074,0.141,6
reach_hard,1,"O-(400, 5)",0.162,0.07,0.137,0.125,6
reach_hard,1,"SC(1600, 5)",0.683,0.325,0.292,0.133,6
reach_hard,1,"SC(400, 5)",0.275,0.14,0.283,0.052,6
reach_hard,1,"SD(400, 5)",0.964,0.087,1.0,0.0,6
reach_hard,2,CC(1000),0.0,0.0,0.0,0.0,6
reach_hard,2,CC(500),0.0,0.0,0.0,0.0,6
reach_hard,2,"O(400, 1)",0.597,0.261,0.018,0.042,6
