alg,task_type,task_level,n_arms,wsteps,tplanning_moaw,ctrl_freq_moaw,sim_clocktime,sim_physics_time
"O(400, 1)",bin,2,4,500,0.017700865268707275,56.49441339841528,104.78208065032959,4.150000216439366
"O(400, 1)",bin,4,4,500,0.018201272010803224,54.941215064884354,103.11315846443176,4.150000216439366
"O(400, 1)",bin,2,4,500,0.01722035789489746,58.07080236679103,99.49230670928955,4.150000216439366
"O(400, 1)",bin,5,4,500,0.01824482822418213,54.81005289348662,109.43924522399902,4.150000216439366
"O(400, 1)",bin,4,4,500,0.01775852680206299,56.31097732069932,104.10114359855652,4.150000216439366
"O(400, 1)",bin,2,4,500,0.017033566474914552,58.70761131984348,95.55217242240906,4.150000216439366
"O(400, 1)",bin,4,4,500,0.01743396520614624,57.35929767987927,99.52488040924072,4.150000216439366
"O(400, 1)",bin,3,4,500,0.017712549209594728,56.45714731216154,104.73827862739563,4.150000216439366
"O(400, 1)",bin,2,4,500,0.017047340869903563,58.66017507548419,100.92070722579956,4.150000216439366
"O(400, 1)",bin,1,4,500,0.017465351104736328,57.25622084567288,98.1225893497467,4.150000216439366
"O(400, 1)",bin,4,4,500,0.017174652576446535,58.225340835797084,97.07967448234558,4.150000216439366
"O(400, 1)",bin,2,4,500,0.01763050079345703,56.71988627635107,102.34356260299683,4.150000216439366
"O(400, 1)",bin,1,4,500,0.01894591951370239,52.78181400890904,98.72182250022888,4.150000216439366
"O(400, 1)",bin,2,4,500,0.01814773416519165,55.103297794501245,103.81696105003357,4.150000216439366
"O(400, 1)",bin,1,4,500,0.01693178939819336,59.06050308579323,96.71563982963562,4.150000216439366
"O(400, 1)",bin,5,4,500,0.017639785289764405,56.69003242234792,103.56613421440125,4.150000216439366
"O(400, 1)",bin,5,4,500,0.018073421001434328,55.329868093076506,103.13757181167603,4.150000216439366
"O(400, 1)",bin,4,4,500,0.01838725996017456,54.385482239655374,104.6820478439331,4.150000216439366
"O(400, 1)",bin,5,4,500,0.01728627872467041,57.84935068603475,102.64805006980896,4.150000216439366
"O(400, 1)",bin,4,4,500,0.017889895915985107,55.89747445687892,100.69091773033142,4.150000216439366
"O(400, 1)",bin,3,4,500,0.01777674102783203,56.253280532936664,109.30221772193909,4.150000216439366
"O(400, 1)",bin,3,4,500,0.018329732418060303,54.55617011706614,94.783855676651,4.150000216439366
"O(400, 1)",bin,3,4,500,0.016633278369903564,60.120439143819716,92.43351030349731,4.150000216439366
"O(400, 1)",bin,3,4,500,0.017507262229919433,57.11915357565315,105.73458433151245,4.150000216439366
"O(400, 1)",bin,5,4,500,0.017528432369232176,57.05016734727,111.59217357635498,4.150000216439366
"O(400, 1)",bin,1,4,500,0.01769087839126587,56.52630569738742,103.81467342376709,4.150000216439366
"O(400, 1)",bin,5,4,500,0.017423869132995606,57.3925339066223,105.95286893844604,4.150000216439366
"O(400, 1)",bin,1,4,500,0.0181362566947937,55.13816973527209,105.12049126625061,4.150000216439366
"O(400, 1)",bin,3,4,500,0.01689571237564087,59.186613607469695,92.9873194694519,4.150000216439366
"O(400, 1)",bin,1,4,500,0.01812000370025635,55.18762669931755,98.00585865974426,4.150000216439366
"O(400, 5)",bin,2,4,500,0.04669964170455933,21.413440521158627,133.73376655578613,4.150000216439366
"O(400, 5)",bin,4,4,500,0.051085935592651364,19.57485927190983,134.99816226959229,4.150000216439366
"O(400, 5)",bin,5,4,500,0.049785144329071045,20.08631316583469,133.32886028289795,4.150000216439366
"O(400, 5)",bin,4,4,500,0.04712588882446289,21.21975892539354,133.1201250553131,4.150000216439366
"O(400, 5)",bin,2,4,500,0.047372750759124754,21.10918162816171,132.66594052314758,4.150000216439366
"O(400, 5)",bin,3,4,500,0.04667727947235108,21.42369930947544,132.13782238960266,4.150000216439366
"O(400, 5)",bin,1,4,500,0.051071781635284426,19.580284219204152,132.7579643726349,4.150000216439366
"O(400, 5)",bin,1,4,500,0.047379505157470705,21.106172313881206,131.6599576473236,4.150000216439366
"O(400, 5)",bin,5,4,500,0.04688931608200073,21.3268199146088,130.46354007720947,4.150000216439366
"O(400, 5)",bin,1,4,500,0.050701525211334225,19.723272541245997,131.45678758621216,4.150000216439366
"O(400, 5)",bin,3,4,500,0.04771458482742309,20.957952450322235,141.18970203399658,4.150000216439366
"O(400, 5)",bin,3,4,500,0.04719859600067139,21.187070903248376,134.12082147598267,4.150000216439366
"O(400, 5)",bin,5,4,500,0.050263761520385745,19.8950490323814,133.19630360603333,4.150000216439366
"O(400, 5)",bin,2,4,500,0.047216488361358645,21.17904220972068,131.80832242965698,4.150000216439366
"O(400, 5)",bin,4,4,500,0.05069241809844971,19.7268159127446,134.71175074577332,4.150000216439366
"O(400, 5)",bin,4,4,500,0.07959130144119263,12.564187064322184,212.67108058929443,4.150000216439366
"O(400, 5)",bin,2,4,500,0.08263867712020874,12.100871345573085,216.84700179100037,4.150000216439366
"O(400, 5)",bin,2,4,500,0.07951670217514038,12.575974262582458,213.9216709136963,4.150000216439366
"O(400, 5)",bin,1,4,500,0.08483021688461304,11.788252308257217,212.28223943710327,4.150000216439366
"O(400, 5)",bin,4,4,500,0.08021817636489868,12.466002660683435,214.01330757141113,4.150000216439366
"O(400, 5)",bin,3,4,500,0.08111649084091187,12.327949466665546,215.7681019306183,4.150000216439366
"O(400, 5)",bin,2,4,500,0.08211283826828003,12.178363591973136,227.6985948085785,4.150000216439366
"O(400, 5)",bin,1,4,500,0.0801980152130127,12.46913651595885,207.23299312591553,4.150000216439366
"O(400, 5)",bin,5,4,500,0.07826717662811279,12.77674809647867,211.18552374839783,4.150000216439366
"O(400, 5)",bin,4,4,500,0.08346184968948364,11.981522141199346,216.53177952766418,4.150000216439366
"O(400, 5)",bin,1,4,500,0.07919951963424683,12.626339207840193,211.46243166923523,4.150000216439366
"O(400, 5)",bin,3,4,500,0.07921436166763306,12.623973468293432,214.31218433380127,4.150000216439366
"O(400, 5)",bin,5,4,500,0.07915945291519165,12.632730055264037,212.18960213661194,4.150000216439366
"O(400, 5)",bin,5,4,500,0.08160713624954223,12.25383031383618,216.2924165725708,4.150000216439366
"O(400, 5)",bin,3,4,500,0.07904865121841431,12.650437225512722,218.6648304462433,4.150000216439366
"O-(400, 5)",bin,2,4,500,0.05778267192840576,17.306226358639595,164.7358260154724,4.150000216439366
"O-(400, 5)",bin,4,4,500,0.06264745044708252,15.962341529679438,167.38120532035828,4.150000216439366
"O-(400, 5)",bin,3,4,500,0.057144258499145506,17.49957084516117,162.71652722358704,4.150000216439366
"O-(400, 5)",bin,5,4,500,0.056617902278900144,17.66225804470808,161.74411416053772,4.150000216439366
"O-(400, 5)",bin,1,4,500,0.05644612884521484,17.716006756498306,173.43906998634338,4.150000216439366
"O-(400, 5)",bin,4,4,500,0.05896849060058594,16.958209203171695,163.46941781044006,4.150000216439366
"O-(400, 5)",bin,4,4,500,0.05537215948104859,18.05961713200395,161.29258227348328,4.150000216439366
"O-(400, 5)",bin,5,4,500,0.056079965591430664,17.83167998506771,160.43288707733154,4.150000216439366
"O-(400, 5)",bin,3,4,500,0.055904404640197754,17.887678197022698,162.46386313438416,4.150000216439366
"O-(400, 5)",bin,4,4,500,0.05534720134735108,18.067760892265245,160.79638576507568,4.150000216439366
"O-(400, 5)",bin,2,4,500,0.05673857355117798,17.62469405576444,160.31168794631958,4.150000216439366
"O-(400, 5)",bin,3,4,500,0.055244985103607175,18.10119050850655,158.649995803833,4.150000216439366
"O-(400, 5)",bin,1,4,500,0.05766949987411499,17.34018852570024,162.85271954536438,4.150000216439366
"O-(400, 5)",bin,1,4,500,0.059584799766540526,16.78280373380635,162.287700176239,4.150000216439366
"O-(400, 5)",bin,1,4,500,0.05523626756668091,18.104047287279244,159.02523493766785,4.150000216439366
"O-(400, 5)",bin,4,4,500,0.0556328649520874,17.97498656345001,160.2752401828766,4.150000216439366
"O-(400, 5)",bin,5,4,500,0.0557080512046814,17.95072666113952,160.4083182811737,4.150000216439366
"O-(400, 5)",bin,2,4,500,0.056572535514831546,17.67642179901644,160.6651473045349,4.150000216439366
"O-(400, 5)",bin,4,4,500,0.05748209047317505,17.396722905661655,161.07592058181763,4.150000216439366
"O-(400, 5)",bin,1,4,500,0.056038622856140134,17.844835383752304,160.7450246810913,4.150000216439366
"O-(400, 5)",bin,1,4,500,0.05691912794113159,17.568786384679797,159.3229832649231,4.150000216439366
"O-(400, 5)",bin,3,4,500,0.055552807807922364,18.000890314267615,160.5478937625885,4.150000216439366
"O-(400, 5)",bin,5,4,500,0.056860363006591794,17.586943647969157,161.59649515151978,4.150000216439366
"O-(400, 5)",bin,5,4,500,0.05660313081741333,17.666867283821002,160.84765672683716,4.150000216439366
"O-(400, 5)",bin,3,4,500,0.055553651809692385,18.000616834797007,159.29074501991272,4.150000216439366
"O-(400, 5)",bin,2,4,500,0.0598393988609314,16.71139782543656,161.94018530845642,4.150000216439366
